WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script 	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition 	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication 	Year 	Edition 	ShelfNo	RowNo	Remarks
W.ISKS1RC16.001	ISKS1RC16	IG.ISKS1RC16.001	16	ARCHITECTURE	Kunda Matrka		Unknown	  Unknown			  Unknown		Sanskrit	Devanagari	SVNJ	Paper MSS	19X9.31	10	26	C	SVNJ	Sri Vasudev Nilakantha Joglekar Gokaran, North Karnataka	Sri Vasudev Nilakantha Joglekar Gokaran, North Karnataka	Sri Vasudev Nilakantha Joglekar Gokaran, North Karnataka	Good	23		Unknown	Sri Vasudev Nilakantha Joglekar Gokaran, North Karnataka	    Nil	   Nil				
W.ISKS1RC17.001	ISKS1RC17	IG.ISKS1RC17.001	17	ARCHITECTURE	Kupodyapana		Unknown	  Unknown			  Unknown		Sanskrit	Devanagari	SVNJ	Paper MSS	19.33X7.94	8	29	C	SVNJ	Sri Vasudev Nilakantha Joglekar Gokaran, North Karnataka	Sri Vasudev Nilakantha Joglekar Gokaran, North Karnataka	Sri Vasudev Nilakantha Joglekar Gokaran, North Karnataka	Good	14		Unknown	Sri Vasudev Nilakantha Joglekar Gokaran, North Karnataka	    Nil	   Nil				
W.ISKS1RC18.001	ISKS1RC18	IG.ISKS1RC18.001	18	ARCHITECTURE	Vastu Mandanam		Unknown	  Unknown			  Unknown		Sanskrit	Devanagari	Unknown	Paper MSS	3.72X1.61	10	31	C	Unknown	Unknown	Unknown	Unknown	Good	94		Unknown	Sri Vasudev Nilakantha Joglekar Gokaran, North Karnataka	    Nil	   Nil				
W.ISKS1RC19.001	ISKS1RC19	IG.ISKS1RC19.001	19	ARCHITECTURE	Vastusastra		Raja vallabha	  Unknown			  Unknown		Sanskrit	Devanagari	Unknown	Paper MSS	3.72X1.62	10	38	C	RGB	Raghunath Godbole Buldana	Raghunath Godbole Buldana	Raghunath Godbole Buldana	Good	85		Unknown	Raghunath Godbole Buldana	    Nil	1854				
W.ISKS1RC20.001	ISKS1RC20	IG.ISKS1RC20.001	20	ARCHITECTURE	Taccusastram		Deva Narayanan						Malayalam	Malayalam		Palmleaves	3.56X0.62	11	51	C	Puliyannur  Tantri Mana	Narayanan Puliyannur Tantri Mana	Palm Leaves	Palm Leaves	Good	462			Puliyannur Tantri Mana	Unpublished	    Nil				
W.ISKS1RC21.001	ISKS1RC21	IG.ISKS1RC21.001	21	ARCHITECTURE	Amsumad kasyapam		Kasyapa muni						Sanskrit	Grantha		Palmleaves	27.61X6.77	9		C	KBSSMC	Kilvalur Balsubramania Sicachariar Saivagam MSS Collections #10 Sannidhi Street Kilvalur, Nagapattinam Dist. TN.	Palm Leaves	Palm Leaves	Brietle	212			KBSSMC #10 Sannidhi Street, Kilvalur, Nagapattinam Dist.TN	Unpublished	    Nil				
W.ISKS1RC22.001	ISKS1RC22	IG.ISKS1RC22.001	22	ARCHITECTURE	Manusyalaya candrika &Vaidyaka		?						Malayalam	Malayalam		Palmleaves	4.22X2.5	6	20	C	?	?	Palm Leaves	Palm Leaves	Good	174			?	Unpublished	    Nil				
W.ISKS1RC23.001	ISKS1RC23	IG.ISKS1RC23.001	23	ARCHITECTURE	Taccusastram		Deva Narayanan						Malayalam	Malayalam		Palmleaves	3.56X0.62	11	43	C	Puliyannur  Tantri Mana	Narayanan Puliyannur Tantri Mana	Palm Leaves	Palm Leaves	Good	229			Narayanan Puliyannur Tantri Mana	Unpublished	    Nil				
W.ISKS1RC24.001	ISKS1RC24	IG.ISKS1RC24.001	24	ARCHITECTURE	Amsumad kasyapam		kasyapaMuni						Sanakrit	Grantha		Palmleaves	27.61X6.77	8	75	C	KBSSMC	Kilvalur Balsubramania Sicachariar Saivagam MSS Collections #10 Sannidhi Street Kilvalur, Nagapattinam Dist. TN.	Palm Leaves	Palm Leaves	Brietle	212			Kilvalur Balsubramania Sicachariar Saivagam MSS Collections #10 Sannidhi Street Kilvalur, Nagapattinam Dist. TN.	Unpublished	    Nil				
W.ISKS1RC25.001	ISKS1RC25	IG.ISKS1RC25.001	25	BUDDHISM	A buddhist manual of Psychological Ethics		?				Unknown	?	English	Roman		 Ptd.Paper	4.87X7.87	36	47	C	PRASL	The Patronage of The Royal Asiatic Society London			Good	501				The Patronage of the Royal Asiatic Society	1900				
W.ISKS1RC26.001	ISKS1RC26	IG.ISKS1RC26.001	26	BUDDHISM	Sphutartha Abhidarma kosa vyakhya 1		Yasomitra	Unknown		Abhidarma kosa 1	Unknown	Prof.  S.Levi & Prof.Th. Stcherbatsky	Sanskrit	Devanagari		 Ptd.Paper	5.86X9.19	25	34	C	?	?			Good	113				?	1918				
W.ISKS1RC27.001	ISKS1RC27	IG.ISKS1RC27.001	27	BUDDHISM	Sphutartha Abhidarma kosa vyakhya 2		Yasomitra	Unknown		Abhidarma kosa 2	Unknown	Prof.U.Wogihara & Prof. Th.Stcherbatsky	Sanskrit	Devanagari		 Ptd.Paper	5.86X9.20	23	32	C	?	?			Good	98				?	1931				
W.ISKS1RC28.001	ISKS1RC28	IG.ISKS1RC28.001	28	BUDDHISM	Arya Salisatama Sutra		?	Unknown				N.Aiyaswami Sastri	English	Dev/Rom		 Ptd.Paper	8.20X7.05	31	33	C	Adyar Library.	Adyar.Library Madras			Good	172			Adayar Library Madras	The Theosophical Society,Adayar, Madras	1950				
W.ISKS1RC29.001	ISKS1RC29	IG.ISKS1RC29.001	29	BUDDHISM	Aryamanjusri Mulakalpa Part-1		?	Unknown				T.Ganapati Sastri	Sanakrit	Devanagari		 Ptd.Paper	5.66X9.15	29	31	C	Unknown	Unknown			Good	270				 Sri Mulaka Rama Varma Kulasekara Maharaja	1920				
W.ISKS1RC30.001	ISKS1RC30	IG.ISKS1RC30.001	30	BUDDHISM	Aryamanjusri Mulakalpa part3		?	1925				T.Ganapati Sastri	Sanakrit	Devanagari		 Ptd.Paper	5.66X9.15	29	34	C	Unknown	Unknown			Good	182				Sri Sethulakshmi Ratni	1925				
W.ISKS1RC31.001	ISKS1RC31	IG.ISKS1RC31.001	31	BUDDHISM	Aryavidya sudhakara																														
W.ISKS1RC32.001	ISKS1RC32	IG.ISKS1RC32.001	32	BUDDHISM	Psychological Ethics		Pitak Abhidhamma	1900				?	English	Roman		 Ptd.Paper	4.87X7.87	36	46	C	PRASL	The Patronage of The Royal Asiatic Society London			Good	501			?	Royal Asiatic Society	1900				
W.ISKS1RC33.001	ISKS1RC33	IG.ISKS1RC33.001	33	BUDDHISM	Cidgagan Candrika																														
W.ISKS1RC34.001	ISKS1RC34	IG.ISKS1RC34.001	34	BUDDHISM	Buddhists manual of Psychological ethics of 4th cent BC																														
