WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication	Year	Edition	ShelfNo	RowNo	Remarks
W.ISKS1RC2324.001	ISKS1RC2324	IG.ISKS1RC2324.001	2324	AYURVEDA	Caraka Samhita 2		Caraka Muni					Cakrapani Datta	Sanskrit	Devanagari		Paper	8.44X8.91			C					Good	304				Sri Narendranath Senagupta/Sri Balaichandra senagupta		First			
W.ISKS1RC2325.001	ISKS1RC2325	IG.ISKS1RC2325.001	2325	AYURVEDA	Caraka Samhita 3		Caraka Muni					Cakrapani Datta	Sanskrit	Devanagari		Paper	9.91X15.83			C					Good	550						First			
W.ISKS1RC2326.001	ISKS1RC2326	IG.ISKS1RC2326.001	2326	AYURVEDA	Caraka Samhita 4								Sanskrit	Devanagari		Paper	10.70X16.84			C					Good	520						First			
W.ISKS1RC2327.001	ISKS1RC2327	IG.ISKS1RC2327.001	2327	AYURVEDA	Caraka Samhita 5							Cakrapani Datta	Sanskrit	Devanagari		Paper	12.18X14.81			C					Good	100				Sri Narendranath Senagupta/Sri Balaichandra senagupta		First			
W.ISKS1RC2328.001	ISKS1RC2328	IG.ISKS1RC2328.001	2328	AYURVEDA	Carakasamhita telugu indriya athanamu			1930					Sanskrit	Telugu		Paper	9.39x12.42			C					Good	158					1930	First			
W.ISKS1RC2329.001	ISKS1RC2329	IG.ISKS1RC2329.001	2329	AYURVEDA	Charaka athana shatkamu								Sanskrit	Telugu		Paper	6.45X10.95			C					Good	64						First			
W.ISKS1RC2330.001	ISKS1RC2330	IG.ISKS1RC2330.001	2330	AYURVEDA	Charakasamihita Sutrasthana							Dr.Sastrula Manikya Sarma	Sanskrit	Telugu		Paper	5.82X8.26			C					Good	308						First			
W.ISKS1RC2331.001	ISKS1RC2331	IG.ISKS1RC2331.001	2331	AYURVEDA	Cikitsaratnam Telugu Ayu								Sanskrit	Telugu		Paper	10.71X15.26			C					Good	182						First			
W.ISKS1RC2332.001	ISKS1RC2332	IG.ISKS1RC2332.001	2332	AYURVEDA	Comments on The Kerala Ayurveda Health Centresissue of License and Control		Dr.N.K. Jayakumar	2007					English	Roman		Paper	8.24X11.66			C					Good	9						First			
W.ISKS1RC2333.001	ISKS1RC2333	IG.ISKS1RC2333.001	2333	AYURVEDA	Daksinabhrta Ayurveda Pracaramu								Sanskrit	Telugu		Paper	4.61X6.39			C					Good	60						First			
W.ISKS1RC2334.001	ISKS1RC2334	IG.ISKS1RC2334.001	2334	AYURVEDA	Dharakalpah		Sri Bhojaraja						Sanskrit/English	Roman/Devanagari		Paper	8.26X11.69			C					Good	8						First			
W.ISKS1RC2335.001	ISKS1RC2335	IG.ISKS1RC2335.001	2335	AYURVEDA	Dravyaguna-Ayurveda		Sri Cakrapani Datta	1897				Sri Sivadas sena	Sanskrit	Devanagari		Paper	3.83x7.53			C					Good	167						First			
W.ISKS1RC2336.001	ISKS1RC2336	IG.ISKS1RC2336.001	2336	AYURVEDA	Dravyaguna-Ayurveda		Sri Cakrapani Datta	1897				Sri Sivadas sena	Sanskrit	Devanagari		Paper	4.62X7.86			C	University of California Library				Good	176						First			
